question	answer
h ẳ j	h ẳ n
t i ệ m	t i ệ m
k h â u	k h â u
đ j f n h	đ ì n h
n j â n	n h â n
k j ế m	h i ế m
d u n k	d u n k
t i n h	t ỉ n h
p h a n h	p h a n h
a t o m y	a t o m y
d a o	d a o
p o r	p o r
ổ g	ổ n
u h ả	k h ả
i h ử	k h ử
q u ậ h	q u ậ n
j g	m g
n n ư	n h ư
l ư ợ	l ư ợ t
g a i	h a i
s i	s o i
p a y t a y a	p a t t a y a
t i ệ n	h i ệ n
t ố d	t ố c
t r i ê u	t r i ê u
d e a l	d e a l
w 3 b 0 s	w e b o s
u ứ n g	h ứ n g
y ố j	t ố i
d u y ê b	d u y ê n
ù j	ù n
k h n q	k h ô n g
c h a m o a s a k	c h a m p a s a k
s ắ q	s ắ m
f ũ	v ũ
â n	ấ n
k f c	k f c
m ĩ	m ĩ
p u r j n	p u r i n
v ư ợ g	v ư ợ t
p h i	p h i m
4 n d 3 r	a n d e r
u ố n g	u ố n g
p y ầ n	p h ầ n
đ ô g g	đ ô n g
h o m	h ô m
g i ă t	g i ặ t
n h i ệ	n h i ệ m
m ớ l	m ớ i
z a u	s a u
ộ n g	đ ộ n g
v i ệ b	v i ệ n
s ô n q	s ô n g
h y u n d a o	h y u n d a i
n g à n	n g à n h
i n s t q g r a m	i n s t a g r a m
b ắ	b ắ t
n j ê	n i ê n
r ô i	t ô i
g a	t a
l a y e r	l a y e r
c u	c ầ u
c h ồ b q	c h ồ n g
m u r a l	m u r a l
t ạ k	t ạ i
c 0 n c 3 p t	c o n c e p t
t ấ h	t ấ n
6 s p l u s	6 s p l u s
ê m	ê m
s i l v a	s i l v a
h u n g	c h u n g
g i q	g i a
n â h q	n â n g
k h s h o g g i	k h a s h o g g i
x u	d u
h ô g	k h ô n g
q u y ế n	q u y ế n
ố t	ố t
n h ấ m	n h ấ m
c h u y ể g	c h u y ể n
f r ừ n g	t r ừ n g
h h ờ i	t h ờ i
r â y	d â y
ê n	n ê n
m l v e n p i c k	m o v e n p i c k
h o f f m x n	h o f f m a n
c q ồ n q	c h ồ n g
x u ấ g	x u ấ t
l ứ q	l ứ a
n ằ j	n ằ m
t h ỉ h	t h ỉ n h
c h ạ	c h ạ y
l à	l à o
d â j	d â n
s 4 y	s a u
đ j ê m	đ i ể m
b ă m	n ă m
k í p	k í p
l i e	l i n e
b 0 y	b o y
j ê n h	k ê n h
s i n a	s i n a
k ê n	l ê n
x é g	x é t
t o à n	c ầ u
0 c 3 4 n b 4 n k	o c e a n b a n k
k h i n	k h i ế n
m à y	m ơ
g ầ n g	t ầ n g
0 ạ j	l ạ i
đ ẩ t	đ ẩ y
n e q	n e w
k n o a n g	k h o a n g
d 4 3 c h u k y 3	d a e c h u k j e
g a l a x y	g a l a x y
b l a z e r	b l a z e r
b ù m	b ù m
t ư a	t ư a
đ ì m h	đ ì n h
v ơ i	v ơ i
g u	g u
l ô i	l ô i
k h á f h	k h á c h
c a u	c ầ u
ấ n	v ấ n
s c a d a	s c a d a
d h ậ u	c h ậ u
t r o n v	t r o n g
r ư f n g	r ừ n g
đ k v đ	đ k v đ
f u j c t i o n	f u n c t i o n
đ ồ b	đ ồ n
k j ể m	h i ể m
b j f n h	b ì n h
n ư ơ c	l ư ợ c
k k k	k a k a k a
n f ư ờ i	n g ư ờ i
k j ệ n	h i ệ n
e u r k	e u r o
l x n	l a n
v ã i i	v ã i
4 m	a n
k h á y	k h á y
n y ô i	n u ô i
n 0 q	l o n g
l u ậ g	l u ậ n
g i ọ g	g i ọ n g
b ỏ	b ỏ
s i n c e r i t y	s i n c e r i t y
r ư ỡ n g	d ư ỡ n g
s o a n g	s a n g
t ạ n	h ạ n
c ồ n	n ư ớ c
n à o o o	n à o
a v e n t a d l r	a v e n t a d o r
đ o ạ f	đ o ạ t
t r 0 n v	t r o n g
s o i	s o i
m e r a h	m e r a h
b ớ h	b ớ t
đ x n q	đ a n g
s n g	s a n g
c h u j p	c h ụ p
v u i	v u i
v i k i n g	v i k i n g
n h ó y	n h ó t
p f e f e r e n c e s	p r e f e r e n c e s
l o o j m a n	l o o k m a n
j h ở i	k h ở i
c e m	x e m
l ỗ l	l ỗ i
b ề	v ề
q ợ p	h ợ p
v ơ n	c ơ n
n ư ợ n h	l ư ợ n g
t h 0 ạ k	t h o ạ i
f i ả	g i ả
l ộ x	l ộ c
d 4	d a
c h ă n	c h ă n
e d d y	e d d y
đ ồ i	đ ồ i
n ớ 0	l ớ p
j o u r n a l	j o u r n a l
q 7	g 7
v o t e t y p e	v o t e t y p e
p s p	p s p
d 4 3 c h u k j	d a e c h u k j e
k j ệ j	h i ệ n
ẵ n	s ẵ n
f i ế c	t i ế c
ứ c	ứ c
f e	f e
d a y	d ã y
b ằ j g	b ằ n g
đ â m	đ â m
c 4 m p u c h j 4	c a m p u c h i a
c o	c ó
v e n e z u s l a	v e n e z u e l a
f i r m i n o	f i r m i n o
m 0 b j n	m o b i l e
t r ư ờ j g	t r ư ờ n g
l a	l a
w ờ i	d ờ i
x o o	x ô
h ố n g	t h ố n g
à n q	c à n g
t r j y	t r u y
t r 4	t r a i
k ọ	h ọ
ắ t	b ắ t
n h j	g h i
g i ệ n	t i ệ n
i n d o n e w i a	i n d o n e s i a
â y	â u
l o g	l ô n g
s c h 0 n 3 s	s c h o l e s
d ì n h	đ ì n h
n u ở	n h ở
b ằ n v	b ằ n g
r p	r ạ p
t h ậ m	t h ậ m
u 2 2	u 2 2
c ỏ i	c õ i
c y p e r p o r t	c y p e r p o r t
i d i o t	i d i o t
d ă m	d ă m
l ộ i	l ộ i
m o n	m ô n
đ ó j	đ ó i
c q í	c h í
j ơ n	h ơ n
l ấ y	đ ể
v â n	v ẫ n
p h a s	p h á
i m x 2 6 3	i m x 2 6 3
m ạ n g	m ạ n h
t ổ n y	t ổ n g
g o s t	g ó t
g ể	r ể
b ụ i	b ụ i
r ạ n	r ạ n
b ấ y	b ấ t
d ẫ g	d ẫ n
n g á y	n g á y
g i ề n	t i ề n
n 3 w	n e w
k i ể j	k i ể m
v u ô n q	v u ô n g
t ị	t h ị
c h é o	c h é o
n á c h	n á c h
h ậ u	h ậ u
s ở	s ở
c ả n g	c ả n g
5 d	5 d
a b e r i c a n	a m e r i c a n
t i t e	t i t e
t h w ờ n g	t h ư ờ n g
c ò j	c ò n
t t â n	t h â n
ô n q	n ô n g
đ u ê u	đ i ê u
n ô j i	n ộ i
t ự	t ự
m ư ợ b	m ư ợ n
v i ê c	v i ệ c
x u ấ t	s u ấ t
đ ứ g g	đ ứ n g
m ắ t	m ắ t
p o g b a	p o g b a
t r a i l b l a z e r	t r a i l b l a z e r
j a n g	m a n g
t h u y ề	t h u y ề n
q u ầ h	q u ầ n
d 4 j	d à i
c h i n	c h i n h
t ở	t h ở
t h ẳ n	t h ẳ n g
r ằ g	r ằ n g
l ỏ b g	l ỏ n g
d 3 4 n	d e a l
4 n k 4 r 4	a n k a r a
k h u h ế n	k h u y ế n
e g	e m
đ ố	đ ố
d u ơ n q	d ư ơ n g
t h v n	t h v n
p r f e r e n c e s	p r e f e r e n c e s
r ồ l	r ồ i
n g o á i	n g o á i
v u l i n h	v u l i n h
s ố n q	s ố n g
a u s r a l i a	a u s t r a l i a
q ị	b ị
t r ơ n	t r ơ n
r e i g n c	r e i g n c
l ù i	l ù i
d i ễ n	d i ễ n
k h o a i	k h o a i
r ồ i i i i i	r ồ i i i i i
t á m	t á m
r r ê n	t r ê n
n y u y e n	n g u y e n
r h ậ n	t h ậ n
c h i c h i	c h i c h i
s o t	s ó t
j g ữ	n g ữ
a n t o n	a n t o n
k l h	k i n h
b á j	b á n
g ắ t	m ắ t
d à n y	d à n h
t r á c h	t r á c h
i m e s s s	i m e s s s
4 r s	a d s
n 3 3	l e e
d ậ n	v ậ n
đ é o	đ ồ
k r j 3 n	t r i e n
a n g r y	a n g r y
c u g	c ũ n g
đ ẹ l	đ ẹ p
n g ĩ	n g h ĩ
x 3 s t	x é t
t h a h h	t h a n h
ư ớ s	ư ớ c
n h ữ n h	n h ữ n g
l o	l a o
x ơ	c ơ
b 8 0 0 0 0	b 8 0 0 0 0
c h o á n g	c h o á n g
n ộ j	h ộ i
y j ê	t i ê u
s i n g x p o r e	s i n g a p o r e
h ề	n è
đ ị c h	đ ị c h
c o l a	c o l a
3 d 0	e d o
n ặ n y	n ặ n g
h u y ệ g	h u y ệ n
t r ạ	t r ạ m
v i d e	v i d e o
b o l e r o	b o l e r o
d d ả n g	đ ả n g
g r e a l l s h	g r e a l i s h
t 0 à	t o à
v j s 4	v i s a
b a	b a
p g í	p h í
d h u y ê n	c h u y ê n
c ạ n	c ạ n h
k h ấ k	k h ấ u
đ ặ x	đ ặ c
v à 0	v à o
g i ờ	h o
đ â f y	đ ầ y
b a n n r r	b a n n e r
g o ờ	g i ờ
s t a m f o r d	s t a m f o r d
l ã m	l ã m
l u ô g	l u ô n
x ẻ n g	x ẻ n g
i s r a e l	i s r a e l
q ố n g	s ố n g
r e n e e	r e n e e
p h 3 p	p h é p
t r ư ờ j q	t r ư ờ n g
p h ò g g	p h ò n g
t h 4 j n h	t h ạ n h
g i ư ơ n g	g i ư ờ n g
f h ẳ n g	t h ẳ n g
y ạ n	h ạ n
m ấ h	m ấ y
w a c h i n g t o n	w a s h i n g t o n
m ấ g	m ấ y
r e r	r ẻ
c u ộ	c u ộ c
k 4 j n	h ạ n
t h ư 0 w n q	t h ư ơ n g
g k â y	g i â y
x ử	x ử
i ư ợ n g	l ư ợ n g
4 d 4 s j 4	a d a s i a
o g a c l e	o r a c l e
x a y	x a y
ớ n	ớ n
s á o	c á o
n 0 n	n o n
y r j ệ u	t r i ệ u
b a l a b a n o v	b a l a b a n o v o
n ư a	n ử a
l ộ b g	l ộ n g
l u ậ j	l u ậ n
d 4 x	d ã
t 4	t a
n g à i	n g à i
b e r b e r i n	b e r b e r i n
k à n g	l à n g
đ ậ y	đ ậ y
v u ộ c	c u ộ c
h ố i	h ố i
t r ẻ o	t r ẻ o
p e r t h	p e r t h
e h r o s k e p t i c	e u r o s k e p t i c
c h i ế h	c h i ế n
c g à	c h à
c h ư ờ n g	c h ư ờ n g
v n n g ô i	v n n g ô i
t r i ệ y	t r i ệ u
n t u ộ i	n g u ộ i
i ệ n	h i ệ n
d e i a w a r e	d e l a w a r e
k x r l	k a r l
q r 4 b	g r a b
s ă m	s ắ m
k ô n q	h ô n g
ầ n	l ầ n
v 4	v à
t d ư ở n g	t r ư ở n g
q h ấ y	t h ấ y
s ắ	s ắ p
c a m	c a m e r a
h ấ n	h u ấ n
t f ì	t r ì
c a l m e t t e	c a l m e t t e
s h u s h i	s h u s h i
h e r i n	h e r o i n
n e e n	n ê n
n ặ p	l ặ p
r ố y	r ố t
a a n g	s a n g
ụ n q	d ụ n g
q j á	q u á
d ắ c	đ ắ c
n i ê j	n i ê n
l i b y a	l i b y a
h o c m a i	h o c m a i
a ụ t	s ụ t
b ấ u	n ấ u
c ư ờ i	c ư ờ i
c h ô i	c h ố i
t r u j p	t r u m p
n i ễ m	n h i ễ m
z ờ i i i i	g i ờ i
l i n g	l i n g
n g i ệ m	n g h i ệ m
c o t y	c i t y
b g o à i	n g o à i
d a	c a
v i n h	v i n h
r u s s i a	r u s s i a
h o a	q u ả
n o	n o n
a d r i e n	a d r i e n
h ỗ n	h ỗ n
o s t	o s t
v i ệ v	v i ệ c
a n g e l a	a n g e l a
t f ự c	t r ự c
á q	á n
b l u e t o t h	b l u e t o o t h
s a	m ạ c
h ắ c	c h ắ c
k 3 3	h e e
n h	a n h
l p	l ớ p
n u ậ q	l u ậ n
n r h ệ	n g h ệ
f 4 s t	p h á t
s n n a	s a n n a
r ị c h	t ị c h
p h i s	p h í
h o y	t h ô i
c h ậ m	c h ậ m
d u b a i	d u b a i
v t v g o	v t v g o
n h t m	n h t m
b ớ f	b ớ t
h a i t i	h a i t i
q u ầ y	q u ầ y
k h 3 0	k h e o
b 0 n k v j 4	b o l i v i a
p h j ê n	p h i ê n
c u n q	c u n g
r a n h	d a n h
q 4 n q	q u a n g
t h a	t h ả
ơ n	h ơ n
j h ẩ u	k h ẩ u
m ă t	m ắ t
k h a	k h a i
n t i ê n	n h i ê n
g ố n	t ố n
n b ạ c	n h ạ c
t m á j	t h á i
o c e	o k
r à	r à
ổ n	ổ n
t h ả i	t h ả i
p h u n g	p h u n g
f b	f b
g h e t	g h é t
r a n d o m	r a n d o m
s n o o k	s n o o k
l n	l ê n
s r j	s r i
q á	g i á
j a	j a
a t l a n n a	a t l a n n a
k h ẩ u	k h ẩ u
h ấ u	h ấ u
a m e r i c a	a m e r i c a
g u l l i t	g u l l i t
k h i ế n	k h i ế n
k h o a n g	k h o ả n g
f i m	t i m
c ù n y	c ù n g
b i ớ i	g i ớ i
m ơ	m ở
t r ư z	t r ư a
k h ế n	k h i ế n
r r í	t r í
l à h	l à m
b h ằ m	n h ằ m
q ừ	t ừ
q u y ề b	q u y ề n
t q à	t r à
q i ố c	q u ố c
m ớ o	m ớ i
m 4	m a
t r ọ m q	t r ọ n g
b a y	h a y
k j 4	h o a
j q â n	n g â n
k i n	k í n
đ ả g	đ ả n g
g i ữ q	g i ữ a
k h o a r n g	k h o ả n g
t u ổ 0	t u ổ i
o l y m p i c	o l y m p i c
đ ú n h	đ ú n g
t ò	t ò
đ 4 j	đ a i
y ỉ	t ỉ
h o ả n h	h o ả n g
v u ố n	c u ố n
z ạ	v ậ y
i b	i n b o x
n h i t	n h i ệ t
n t k	n t k
t h i ế y	t h i ế t
r ậ p	t ậ p
l ố l	l ố i
s ố t	s u ố t
h i á m	g i á m
y j v j	t i v i
n q q	n g a
t ọ n g	t r ọ n g
n ư ớ j	l ư ớ i
c a	c à
t u ộ t	t u ộ t
g i â t	g i ậ t
g ặ p	ô n g
m ạ n	m ạ n h
f ị p	d ị p
m a y	m a y
m t v	m t v
t h ờ n g	t h ư ờ n g
c o o n s	c o o n s
b l a d k	b l a c k
b á n h	b á n h
j o n n n g u y ễ n	j o n n n g u y ễ n
t i s n h	t í n h
r a y e e m	r a h e e m
t j ư	t h ư
g é	n é
h j ế p	h i ế p
j p h n n 3	i p h o n e
n e e	n e w
t h ằ n g	t h ứ
n g p à i	n g o à i
c y ỉ	c h ỉ
t í c u	t í c h
t h à h	t h à n h
y ê u	y ế u
n f w	n e w
m q j	m a i
a z e r b a i u a n	a z e r b a i j a n
t h ô m g	t h ô n g
g â n	n g â n
p h w ợ n g	p h ư ợ n g
h u ô n	k h u ô n
f ỡ	c ỡ
c m ỗ	c h ỗ
d j v	d i v
k ả	k h ả
h a n	h ạ n
r o j g	t r o n g
a p	á p
s a h s u n g	s a m s u n g
n a p o o i	n a p o l i
b ù i n h ư	b ù i n h ư
r n g	r ộ n g
o a i	o a i
l o z i	l o z i
t h ự f	t h ự c
r h ể	t h ể
t r q q	t r a n g
c 4 n q	s a n g
h ế	h ế t
n h ư ơ n q	p h ư ơ n g
k u ấ b	h u ấ n
o a	x o a
c â s t	c ấ t
u n j v 3 r s 4 n	u n i v e r s a l
m e n y	m e n u
m ụ n	m ụ n
k h a	k h á
b ằ g	b ằ n g
k 3 y	k e y
h i ệ j	h i ệ n
d ị x h	d ị c h
p i r r r e	p i e r r e
b ị	v ị
d ư o w n g	d ư ơ n g
k h n	k h á n
p h 4	p h a
4 ố	s ố
h à	b à
đ o à n	đ o à n
d e	d e
m ặ c	m ặ c
n g ó n g	n g ó n g
t t g t	t t g t
t h ú d	t h ú c
n ã n q	l ã n h
s u	s ử
h ả	h ả i
f a n s	f a n s
c r	c r
t h ư ơ q	t h ư ơ n g
n h ó j	n h ó m
t o à g	t o à n
n q u	n g u y
e ố c	s ố c
n q u	n g u
đ â u	đ â u
t i h	t i n h
p á p	p h á p
v â x n	v ẫ n
c a r	c ả
x a	x a
b o	b o
g à n g	g à n g
n j ê j u	l i ệ u
q u 4 b	q u a n
s á x h	s á c h
b ạ c m	b ạ c h
l ư j	l ư u
c h i n h	c h i n h
v u j	v u i
n h i ệ r	n h i ệ t
đ í f h	đ í c h
t h ư s	t h ứ
q u y ê f n	q u y ề n
p t ó	p h ó
x ú i	x ú i
đ ũ a	đ ũ a
t r ù m	t r ù m
n ậ u	l ậ u
đ ô i	đ ộ i
h i ê u	t i ê u
g ồ j	g ồ m
c ô b g	c ô n g
đ j ê n	đ i ể n
c h u ô x i	c h u ỗ i
m ă n g	n ă n g
d ư j	d ự
b ạ c n	b ạ c h
đ ù a	đ ù a
m a n i s h	m a n i s h
b 3 j n q	b o e i n g
t t ầ y	t h ầ y
h ế c	h ế t
k h m e i m i m	k h m e i m i m
h o a	h o a
q 4 0 4 x y	g a l a x y
c h u n g	c h u n g
s â m	s â m
u a y	h a y
k w j	h a i
m ệ n h	m ệ n h
j g h i ê n	n g h i ê n
b a m p	v a m p
f ò n g	v ò n g
ư s n b	ứ n g
h i ể	h i ể u
f r ọ n g	t r ọ n g
h u h u	h u h u
m ö v e n p i c k	m ö v e n p i c k
m u s t a	m u s t a
n g u ồ n	n g u ồ n
s m s	s m s
t f ậ n	t r ậ n
r e c o r d	r e c o r d
r â	r â
h a h a a a	h a h a
k g b	k g b
m a c r i d	m a d r i d
t ú c	n g h i ê m
n a p l e o n	n a p o l e o n
t ố k	t ố i
k h p	k h ớ p
m ư	m ư a
h g o á i	n g o á i
k h 4 j	k h a i
z í	v ớ i
h h ầ u	t h ầ u
đ j ề u	đ i ề u
g a v i n	g a v i n
q u ã n q	q u ã n g
p à	l à
s 4 t	s á t
n ă n f	n ă n g
đ ê n	đ ế n
n h k ê n	n h i ê n
y i ả n g	g i ả n g
c ũ n m	c ũ n g
p h á g	p h á n
k ỗ	h ỗ
d e n	x e n
n h ư ờ i	n g ư ờ i
k h ẳ n m	k h ẳ n g
đ n r	đ ố n g
b i ế j	b i ế u
k b j	k h i
h o à n h	h o à n g
ạ o	t ạ o
t g ẻ	t h ẻ
s á c	x á c
m ô j	m ô i
c e	x e
c ộ c	c u ộ c
l o c o	l o c o
h g ư ờ k	n g ư ờ i
j s 3 f	i s e f
u 1 8	u 1 8
m â x u	m ẫ u
u ọ	h ọ
g ó i	g ó i
m 3 s j	m e s s i
v ư o w n g	v ư ơ n g
m ộ p	h ộ p
t j ậ n	t h ậ n
v i a s h i n	v i n a s h i n
d c h	d ị c h
b j ả n	g i ả n
j o u r n a	j o u r n a l
x á c h	x á c h
l h ầ n	p h ầ n
n g u ô n	n g u ồ n
q u a n	q u ả n
j e a n	j e a n s
g i a m	g i á m
v u ê n	v i ê n
q j 4	g i a n
m ỉ m	m ỉ m
c ậ	c ậ p
t i	t ớ i
p ạ m	p h ạ m
k y f	k ỳ
k è m	k è m
d a p p e n	d a p p e n
c h ư ơ g	c h ư ơ n g
c o m b u 5 d 4 0 9 6 f d 1 7 9 d 6	c o b b u 5 d 4 0 9 6 f d 1 7 9 d 6
ư ớ	ư ớ c
h o l d i g g	h o l d i n g
h ồ o	h ồ i
g h i ệ m	n h i ệ m
4 ắ p	s ắ p
w u y ế t	q u y ế t
t ố j	t ố i
n h a n j	n h a n h
t à i	t à i
j ă n q	n ă n g
t c	t ó c
h ả i	h a i
i t	i t
g h ê m	t h ê m
h ơ n g	h ư ơ n g
t r a	t r a i
k ắ n	c h ắ n
e o	h e o
r ỷ	t ỷ
k ớ	h ớ
r h ô n g	t h ô n g
k h ư	k h ư
k h i ễ n g	k h i ễ n g
j p 0 k i x x n	j p 0 k i x x n
m w g	m w g
đ ạ c	đ ạ c
t a n i d a	t a n i d a
k í c h	k h í c h
h i u	h i u
đ ộ n g	đ ộ n g
b ử u	b ử u
c a o s u	c a o s u
s 4 j s u n q	s a m s u n g
r w	r a
i w r a e l	i s r a e l
đ ă s k	đ ắ k
t u y ể n	t u y ể n
t r ầ u	t r ầ u
t h à g h	t h à n h
â y	đ â y
n ó l	n ó i
i p	i p
n ư n q	n h ư n g
v 4 0	c a o
n j ê j	l i ê n
d u ờ n g	d ư ờ n g
k ộ k	h ộ i
h a r r i m a n	h a r r i m a n
m à	m à u
r ư ớ j	d ư ớ i
t h ă b	t h ă m
p h l ê n	p h i ê n
c h ọ v	c h ọ c
t n ô n	t h ô n
k t o a	k h o a
f ứ u	c ứ u
k y o g o k u	k y o g o k u
s l i d	s l i d e
x ư ớ	x ư ớ c
s á n y	s á n g
b o ế t	b i ế t
d ã	d ã
e r f z n	e r f a n
m n h	m i n h
n q h 0 ê m	n g h i ê m
x á	x á
p 0 w 3 r	p o w e r
c 0 n 0 r 4 d 0	c o l o r a d o
t r 4 j	t r a o
l ò n	l ò n
o ế t	k ế t
ó n g	n ó n g
t h c	t h ứ c
g ó o	g ó p
s c a n w a l	s c a n d a l
m à i	b à i
a r r c	a r r c
c h ư	c h ứ
v a l v e r d e	v a l v e r d e
ê y	ê
a i	o a i
c ế	c h ế
z à n	s à n
v ớ u	v ớ i
c a	c ả
o h á c	k h á c
đ ó i	đ ó i
h a n	h à n
t h ô s n q	t h ố n g
k r ì n h	t r ì n h
g h ứ	t h ứ
m u r i v i n i n	m u r i c i n i n
t ị c t	t ị c h
c h á n	ạ
t h u ộ t	t h u ộ t
ú c	ú c
p ằ n	o ằ n
b ò	b ò
q 4 y	b a y
f ấ p	t ấ p
h ộ t	h ộ t
h u ý t	b u ý t
l ự v	l ự c
s l o w	s l o w
j h i ê n	n h i ê n
d o i	đ ổ i
r ồ j	r ồ i
m i h	m ì n h
g h ì n	n h ì n
g u l i t	g u l l i t
s o l s k j w e r	s o l s k j a e r
đ ị n m	đ ị n h
c h i ể u	c h i ể u
n u y ễ n	n g u y ễ n
n u ố	n u ố t
q ầ n q	t ầ n g
x y â n	x u â n
v h ứ	c h ứ
t r ư a	t r ư a
u 2 0	u 2 0
e s p o r t s	e s p o r t s
t a o	t ủ
y a h	y e a h
p 4	l a
h è	n è
l i n	l i ê n
n h ă c	n h ắ c
n n à y	n g à y
q í n h	t í n h
c í n h	c h í n h
m a t h e r y n	m a t h e r y n
l z i	l a i
m à j	m à u
ô n g	b ộ
t g à o	t r à o
w i n	w i n
p h a m	p h a m
p o w e r	p o w e r
l á o	l á o
o d a	o d a
k h u ấ t	k h u ấ t
s l n a	s l n a
w e i g h t	w e i g h t
n o m	n o n
r a	t r a
p m ả j	p h ả i
b u ố i	m u ố i
m 0 4	h o a
g l á m	g i á m
v o t e r e s u l t	v o t e r e s u l t
r ã j	r ã i
n y h ệ	n g h ệ
b i ộ c	b u ộ c
đ a f o	đ à o
m 3 t r 0 p n n 3	m e t r o p o l e
b ấ m	b ấ m
t y ế n	t u y ế n
c ạ n u	c ạ n h
c ù g g	c ù n g
m h u ậ n	n h u ậ n
h d u n g	h e u n g
l p ạ i	l o ạ i
s ạ h	s ạ c h
s a r	s a r
c a r b o h y d r a t e	c a r b o h y d r a t e
q ư ờ j	n g ư ờ i
n g y ồ n	n g u ồ n
x ả	x ả y
a n g	a n n
c g ố n g	c h ố n g
a t l e t k c o	a t l e t i c o
c 4 m p 3 r s	c a m p e r s
d h ụ p	c h ụ p
v j 3 t n 4 m	v i e t n a m
n h ắ j	n h ắ n
r h i	g h i
d o n h	d o a n h
x e g	x e m
s h k p h o u s e	s h o p h o u s e
d à n	d à i
v f f	v f f
b o r g o	b o r g o
c h i w	c h i a
c h ả	c h ả
s u ả n	q u ả n
d u ộ c	c u ộ c
b j r i r a m	b u r i r a m
k ụ	p h ụ
c ă m	c h ă m
k g	k h ô n g
n h ừ	n h ư
n f ư ờ j	n g ư ờ i
đ í n h	đ í n h
s ô	c ô
h ồ n n	h ồ n g
c n â u	c h â u
x u ồ n m	x u ồ n g
k h ó c	k h ó c
c o m m o n s	c o m m o n s
s ỏ	s ỏ
đ ơ g	đ ơ n
k i n k	l i n k
e n g g	e n g g
n ã j	l ã i
k o ạ i	l o ạ i
q á m	s á m
n 4 b	n a m
v i ệ h	v i ệ t
t r ê q	t r ê n
d ơ	d ỡ
r 4 m	t a m
n h u ê n	n h i ê n
c y ư a	c h ư a
e ự	d ự
c w ờ n g	c ư ờ n g
b e s s e r	b e s s e r
t ấ m	t ấ n
c h ư s	c h ứ
a r e a	a r e n a
u y ệ t	t u y ệ t
t h à n h	t r ư ở n g
k h	k h
k j h	k i n h
y ỏ	t ỏ
n h i e	n h ỉ
l ấ n	l ấ n
n h w n g	n h ư n g
ố i	ố i
v i o l a	v i o l a
v a j	v a i
b 0 4	b i a
t r i	t r í
t h ê n	t h i ê n
n g u u ê n	n g u y ê n
k h u ô n	k h u ô n g
n ă n r	n ă n g
q à j	b à i
k h o ă h	k h o ă n
d 4 n	d a n h
s ư s	s ứ
b 0 n 3 0 n 4 r 0	b o l s o n a r o
b i ệ	b i ệ n
o m a n	o m a n
q ứ c	s ứ c
a n f r o i d	a n d r o i d
b i h	b i n h
p c	p c
h e l s i n k i	h e l s i n k i
m a e	m a k e
g o a i	g i a i
d ù g	d ù n g
t ô i	t ô i
l ị c h	l ị c h
c h ủ q q	c h ủ n g
d ờ j	d ờ i
f ử a	c ử a
t f ư ờ n b	t r ư ờ n g
y r ê n	t r ê n
v ờ j	v ờ i
r ằ n t	r ằ n g
ắ t	ắ t
n â u	l â u
g a g x	g a g a
c â n	c h â n
t h a n j	t h a n h
p h i l i p p i n w s	p h i l i p p i n e s
r o ê n g	r i ê n g
b j ê t	b i ệ t
n 3 y	n e t
t h 4 j	t h ả i
n h ắ	n h ắ c
4 8 s	a 8 s
m v l a r e n	m c l a r e n
l h é o	k h é o
t h ư ờ g g	t h ư ờ n g
q j	g i á
c ủ g	c ũ n g
m z	m a
x u n g	d u n g
